site,original_site,new_country,FE_ton_Km,total.mpa.ha,size.notake.ha,yr.creation,age.reserve.yr,enforcement
Sardinia,CAPO CACCIA,Italy,33.86811994,2631,38,2002,6,2
Sardinia,TAVOLARA,Italy,33.86811994,15357,529,1997,11,3
Sardinia,Asinara,Italy,33.86811994,15000,15000,2002,1,2
Mallorca,CABRERA,Spain,112.3140823,10021,360,1991,16,2
Italy_west,PORTOFINO,Italy,33.86811994,346,18,1998,9,3
Ibiza,FORMENTERA,Spain,112.3140823,1367,400,1999,8,3
Shikmona,Shikmona,Israel,39.7,167.7,167.7,2008,9,2
Spain,CAP DE CREUS,Spain,112.3140823,3056,21,1998,9,2
Achziv,Achziv,Israel,39.7,10000,10000,1968,49,3
Croatia,Miljet,Croatia,8.997764803,2375,0,1960,57,1
Croatia,Kornati,Croatia,8.997764803,16600,0,1980,38,1
Croatia,Brijuni,Croatia,8.997764803,2651,2651,1983,35,3
Gdor,Gdor,Israel,39.7,84.4,84.4,2004,13,2
Sicily,Ustica,Italy,33.86811994,16000,60,1986,32,2
Sicily,Marettimo,Italy,33.86811994,50000,1067,1991,26,2
Italy,PORTO CESAREO,Italy,33.86811994,16654,173,1997,10,2
Banyuls,Banyuls,France,97.56999854,650,650,1974,40,3
Minorca,CAVALLERIA,Spain,112.3140823,5119,1001,1999,8,2
Spain,MEDES,Spain,112.3140823,94,94,1983,24,3
Italy,TORRE GUACETO,Italy,33.86811994,2227,179,1991,16,3
